timestep,walltime_sec,ep_rew_mean,ep_len_mean
11243520,2130.08,6523.2567,800.00
11264000,2133.82,6520.3524,800.00
11284480,2137.64,6513.3673,800.00
11304960,2141.28,6522.8602,800.00
11325440,2144.88,6550.3670,800.00
11345920,2148.56,6511.7516,800.00
11366400,2152.38,6523.6431,800.00
11386880,2156.26,6532.6456,800.00
11407360,2159.97,6527.7384,800.00
11427840,2163.54,6563.3815,800.00
11448320,2167.33,6515.6255,795.53
11468800,2171.09,6513.5233,795.53
11489280,2174.90,6531.3538,795.53
11509760,2178.55,6525.4424,795.53
11530240,2182.21,6574.9336,800.00
11550720,2185.87,6582.9549,800.00
11571200,2189.50,6573.1062,800.00
11591680,2193.42,6558.8504,800.00
11612160,2197.14,6561.7732,800.00
11632640,2200.90,6566.1841,800.00
11653120,2204.59,6542.3933,795.53
11673600,2208.30,6550.4853,795.53
11694080,2212.21,6552.1003,795.53
11714560,2215.96,6549.0430,795.53
11735040,2219.57,6583.5818,800.00
11755520,2223.24,6577.2465,800.00
11776000,2226.91,6573.3802,800.00
11796480,2230.77,6569.2294,800.00
11816960,2234.52,6573.9437,800.00
11837440,2238.19,6595.0393,800.00
11857920,2241.91,6599.5994,800.00
11878400,2245.54,6600.8910,800.00
11898880,2249.31,6585.1141,800.00
11919360,2253.03,6578.4449,800.00
11939840,2256.77,6587.8047,800.00
11960320,2260.67,6589.3899,800.00
11980800,2264.33,6611.8770,800.00
12001280,2268.13,6608.3227,800.00
12021760,2271.82,6547.0445,793.67
12042240,2275.49,6559.7394,793.67
12062720,2279.09,6564.5691,793.67
12083200,2282.78,6631.7983,800.00
12103680,2286.52,6653.0595,800.00
12124160,2290.19,6629.8565,800.00
12144640,2293.92,6623.6468,800.00
12165120,2297.63,6618.4133,800.00
12185600,2301.33,6602.2260,800.00
12206080,2305.20,6636.9340,800.00
12226560,2308.85,6646.7655,800.00
12247040,2312.50,6603.2690,794.02
12267520,2316.17,6628.2622,794.02
12288000,2319.87,6621.3523,794.02
12308480,2323.65,6614.3896,794.02
12328960,2327.42,6643.5272,800.00
12349440,2331.20,6627.8098,800.00
12369920,2334.91,6625.8045,800.00
12390400,2338.56,6647.6681,800.00
12410880,2342.42,6671.5948,800.00
12431360,2346.05,6680.3318,800.00
12451840,2349.70,6674.7342,800.00
12472320,2353.22,6661.9894,800.00
12492800,2356.80,6660.9284,800.00
12513280,2360.54,6667.1962,800.00
12533760,2364.12,6674.1580,800.00
12554240,2367.75,6682.6301,800.00
12574720,2371.45,6673.0152,800.00
12595200,2375.10,6680.8369,800.00
12615680,2379.00,6702.3114,800.00
12636160,2382.81,6702.0882,800.00
