t,lighthouse.status,lighthouse.bsReceive,lighthouse.bsActive,lighthouse.bsGeoVal,lighthouse.bsCalVal,lighthouse.bsCalCon,lighthouse.bsCalUd,lighthouse.comSync,stateEstimate.x,stateEstimate.y,stateEstimate.z
12.204,2,15,15,15,15,15,0,1,-0.43005627393722534,-0.19534099102020264,-0.008826647885143757
12.303,2,15,15,15,15,15,0,1,-0.4300974905490875,-0.1963013857603073,-0.009040222503244877
12.404,2,15,15,15,15,15,0,1,-0.4285188317298889,-0.1937296986579895,-0.007738281972706318
12.504,2,15,15,15,15,15,0,1,-0.4277920424938202,-0.1942279040813446,-0.007784521207213402
12.608,2,15,15,15,15,15,0,1,-0.4289224445819855,-0.19426123797893524,-0.008509484119713306
12.703,2,15,15,15,15,15,0,1,-0.42963236570358276,-0.19519132375717163,-0.008659141138195992
12.803,2,15,15,15,15,15,0,1,-0.428870290517807,-0.19487528502941132,-0.009032700210809708
12.903,2,15,15,15,15,15,0,1,-0.4295502305030823,-0.19341647624969482,-0.008330385200679302
13.003,2,15,15,15,15,15,0,1,-0.43081584572792053,-0.194253608584404,-0.009561557322740555
13.102,2,15,15,15,15,15,0,1,-0.43051379919052124,-0.1955757886171341,-0.008503236807882786
13.203,2,15,15,15,15,15,0,1,-0.42851170897483826,-0.19500301778316498,-0.00876691471785307
13.303,2,15,15,15,15,15,0,1,-0.42759063839912415,-0.1952340006828308,-0.008892583660781384
13.403,2,15,15,15,15,15,0,1,-0.4293821454048157,-0.19354531168937683,-0.008757013827562332
13.503,2,15,15,15,15,15,0,1,-0.4296877384185791,-0.19280096888542175,-0.008292916230857372
13.606,2,15,15,15,15,15,0,1,-0.4298524856567383,-0.1942417025566101,-0.008486841805279255
13.702,2,15,15,15,15,15,0,1,-0.42940667271614075,-0.19416598975658417,-0.00825461745262146
13.803,2,15,15,15,15,15,0,1,-0.4284626841545105,-0.19405050575733185,-0.007953823544085026
13.905,2,15,15,15,15,15,0,1,-0.42979952692985535,-0.1950729936361313,-0.009143222123384476
14.005,2,15,15,15,15,15,0,1,-0.4304165244102478,-0.19523616135120392,-0.00915368553251028
14.102,2,15,15,15,15,15,0,1,-0.4296277165412903,-0.19617486000061035,-0.009655654430389404
14.202,2,15,15,15,15,15,0,1,-0.429561048746109,-0.19362150132656097,-0.008724505081772804
14.302,2,15,15,15,15,15,0,1,-0.4289129972457886,-0.19327035546302795,-0.007456252817064524
14.402,2,15,15,15,15,15,0,1,-0.4286557734012604,-0.19547659158706665,-0.008524538017809391
14.502,2,12,12,15,15,15,0,1,-0.4286406934261322,-0.19674673676490784,-0.009404303506016731
14.602,2,12,12,15,15,15,0,1,-0.42932865023612976,-0.1964891254901886,-0.009952026419341564
14.701,2,14,14,15,15,15,0,1,-0.42833277583122253,-0.1954122930765152,-0.0089173074811697
14.801,2,14,14,15,15,15,0,1,-0.4282696545124054,-0.19592547416687012,-0.008770560845732689
14.901,2,15,15,15,15,15,0,1,-0.42931896448135376,-0.1938074678182602,-0.008384832181036472
15.001,2,15,15,15,15,15,0,1,-0.4287538528442383,-0.19534747302532196,-0.008289514109492302
15.105,2,15,15,15,15,15,0,1,-0.43032678961753845,-0.19515182077884674,-0.008748052641749382
15.201,2,15,15,15,15,15,0,1,-0.4285745918750763,-0.195251926779747,-0.00891304574906826
15.309,2,15,15,15,15,15,0,1,-0.42926403880119324,-0.19494153559207916,-0.00850982777774334
15.403,2,15,15,15,15,15,0,1,-0.4289179742336273,-0.194290429353714,-0.008417143486440182
15.502,2,15,15,15,15,15,0,1,-0.4283720552921295,-0.19609351456165314,-0.008744200691580772
15.601,2,15,15,15,15,15,0,1,-0.43014806509017944,-0.19433940947055817,-0.008877922780811787
15.701,2,7,7,15,15,15,0,1,-0.4292748272418976,-0.1932171732187271,-0.00715213967487216
15.803,2,7,7,15,15,15,0,1,-0.42930981516838074,-0.1940033733844757,-0.00828292965888977
15.901,2,15,15,15,15,15,0,1,-0.4289110004901886,-0.19487592577934265,-0.008539585396647453
16.001,2,15,15,15,15,15,0,1,-0.4295903742313385,-0.1959286481142044,-0.009228227660059929
16.100,2,15,15,15,15,15,0,1,-0.43039220571517944,-0.19517433643341064,-0.00959125254303217
16.200,2,15,15,15,15,15,0,1,-0.4292391538619995,-0.19356532394886017,-0.008180426433682442
16.301,2,15,15,15,15,15,0,1,-0.4281052052974701,-0.19497175514698029,-0.007389001548290253
16.401,2,15,15,15,15,15,0,1,-0.42947548627853394,-0.19550059735774994,-0.00884058978408575
16.501,2,15,15,15,15,15,0,1,-0.4299193322658539,-0.19452613592147827,-0.009163690730929375
16.600,2,15,15,15,15,15,0,1,-0.4298408329486847,-0.19382736086845398,-0.00870614405721426
16.701,2,15,15,15,15,15,0,1,-0.4298296868801117,-0.19491778314113617,-0.008178667165338993
16.800,2,15,15,15,15,15,0,1,-0.42904147505760193,-0.19506224989891052,-0.008712684735655785
16.900,2,15,15,15,15,15,0,1,-0.4275946319103241,-0.1953134387731552,-0.008774913847446442
17.000,2,15,15,15,15,15,0,1,-0.4282076358795166,-0.19437822699546814,-0.007858416996896267
17.100,2,15,15,15,15,15,0,1,-0.42821037769317627,-0.19511671364307404,-0.008424985222518444
17.200,2,15,15,15,15,15,0,1,-0.42949843406677246,-0.1945342719554901,-0.008154958486557007
17.302,2,15,15,15,15,15,0,1,-0.430265337228775,-0.19539614021778107,-0.009265157394111156
17.400,2,15,15,15,15,15,0,1,-0.43027928471565247,-0.19618555903434753,-0.009346100501716137
17.500,2,15,15,15,15,15,0,1,-0.42979755997657776,-0.1962394416332245,-0.009775039739906788
17.600,2,15,15,15,15,15,0,1,-0.4275747537612915,-0.1952771693468094,-0.008907478302717209
17.700,2,15,15,15,15,15,0,1,-0.4272633492946625,-0.19448475539684296,-0.007402646355330944
17.803,2,15,15,15,15,15,0,1,-0.42919284105300903,-0.19351603090763092,-0.008083885535597801
17.899,2,15,15,15,15,15,0,1,-0.42981985211372375,-0.19482804834842682,-0.008729664608836174
18.001,2,15,15,15,15,15,0,1,-0.4294397532939911,-0.19573895633220673,-0.009836371056735516
18.103,2,15,15,15,15,15,0,1,-0.4286647140979767,-0.1949882060289383,-0.008458700962364674
18.206,2,15,15,15,15,15,0,1,-0.4278413653373718,-0.1951800137758255,-0.008717803284525871
18.300,2,15,15,15,15,15,0,1,-0.42898258566856384,-0.1939183473587036,-0.008139735087752342
18.400,2,15,15,15,15,15,0,1,-0.42932385206222534,-0.19434738159179688,-0.00860662292689085
18.499,2,15,15,15,15,15,0,1,-0.42830827832221985,-0.19547125697135925,-0.008436771109700203
18.600,2,15,15,15,15,15,0,1,-0.42975881695747375,-0.19546645879745483,-0.008694243617355824
18.699,2,15,15,15,15,15,0,1,-0.43008485436439514,-0.19570092856884003,-0.00979658868163824
18.799,2,15,15,15,15,15,0,1,-0.4286930561065674,-0.1955476850271225,-0.008885497227311134
18.901,2,15,15,15,15,15,0,1,-0.4287116825580597,-0.19449062645435333,-0.008596769534051418
18.999,2,15,15,15,15,15,0,1,-0.4295424818992615,-0.19383761286735535,-0.008312199264764786
19.099,2,15,15,15,15,15,0,1,-0.42919591069221497,-0.19504565000534058,-0.008050805889070034
19.198,2,15,15,15,15,15,0,1,-0.4305739402770996,-0.19476062059402466,-0.007951466366648674
19.298,2,15,15,15,15,15,0,1,-0.430144339799881,-0.19427832961082458,-0.008477764204144478
19.399,2,15,15,15,15,15,0,1,-0.428916871547699,-0.19432932138442993,-0.008182620629668236
19.498,2,15,15,15,15,15,0,1,-0.4281938076019287,-0.1945023536682129,-0.008215149864554405
19.598,2,15,15,15,15,15,0,1,-0.4282936155796051,-0.19416099786758423,-0.007746277842670679
19.699,2,15,15,15,15,15,0,1,-0.4298780560493469,-0.19468039274215698,-0.00869867205619812
19.798,2,15,15,15,15,15,0,1,-0.4300056993961334,-0.19374904036521912,-0.008626334369182587
19.898,2,15,15,15,15,15,0,1,-0.42985838651657104,-0.194915309548378,-0.00942604523152113
20.000,2,15,15,15,15,15,0,1,-0.4276253283023834,-0.19538193941116333,-0.009125410579144955
20.098,2,15,15,15,15,15,0,1,-0.42920950055122375,-0.1939965933561325,-0.00829897727817297
