t,mode,armed,roll,pitch,yaw,thrust_pct,z,tilt,policy_thrust_pct,vbat
3.567,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.394,0.0,0.0,3.70
3.589,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.553,0.0,0.0,3.70
3.613,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.570,0.0,0.0,3.70
3.635,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.570,0.0,0.0,3.70
3.657,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.570,0.0,0.0,3.70
3.681,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.570,0.0,0.0,3.70
3.704,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.727,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.750,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.771,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.792,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.813,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.835,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.860,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.884,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.559,0.0,0.0,3.70
3.908,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
3.933,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
3.957,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
3.978,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
4.000,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
4.021,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
4.043,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
4.067,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.504,0.0,0.0,3.70
4.093,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.589,0.0,0.0,3.70
4.116,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.588,0.0,0.0,3.70
4.139,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.588,0.0,0.0,3.70
4.160,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.588,0.0,0.0,3.70
4.183,STOCK (your sticks),0,0.0,0.0,-0.0,50.0,50.588,0.0,0.0,3.70
