t,acc.x,acc.y,acc.z,gyro.x,gyro.y,gyro.z,policy.abort_reason,policy.act0,policy.armed,policy.mode,policy.p_err,policy.thrust_units,policy.tilt_deg,policy.vbat,stateEstimate.x,stateEstimate.y,stateEstimate.yaw,stateEstimate.z
23.796,,,,-0.3673144578933716,-1.2526774406433105,,,,,,,,,,9.091389656066895,0.19895215332508087,-5.886331081390381,-1.0575921535491943
23.797,0.020350685343146324,-0.016880489885807037,1.0049811601638794,,,-7.054327011108398,,,,,,,,,,,,
23.894,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.897,,,,-0.9103214740753174,2.2788259983062744,,,,,,,,,,9.219907760620117,0.18315528333187103,-10.314677238464355,-1.092561960220337
23.898,0.01877189800143242,-0.06694184988737106,0.9999362826347351,,,-64.19844818115234,,,,,,,,,,,,
23.994,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
23.996,,,,-2.8170788288116455,4.201835632324219,,,,,,,,,,9.217637062072754,0.18169942498207092,-14.21277141571045,-1.092576503753662
23.997,0.041499312967061996,-0.037538833916187286,0.9989461898803711,,,-25.85585594177246,,,,,,,,,,,,
24.095,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.096,,,,-0.11218196898698807,0.8474417924880981,,,,,,,,,,9.344772338867188,0.16588670015335083,-16.183067321777344,-1.126788854598999
24.098,0.02844478376209736,-0.052130382508039474,0.9997172951698303,,,-17.048175811767578,,,,,,,,,,,,
24.194,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.196,,,,-0.9397265911102295,0.8932876586914062,,,,,,,,,,9.470837593078613,0.14951317012310028,-19.026775360107422,-1.1605099439620972
24.197,0.06531605869531631,-0.018330486491322517,0.9993210434913635,,,-24.258821487426758,,,,,,,,,,,,
24.295,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.297,,,,-0.7633152604103088,1.0703610181808472,,,,,,,,,,9.597789764404297,0.1328735649585724,-21.398683547973633,-1.194115400314331
24.299,0.0300609041005373,-0.0547524131834507,0.999231219291687,,,-19.904281616210938,,,,,,,,,,,,
24.394,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.396,,,,-1.2105857133865356,1.9285413026809692,,,,,,,,,,9.725076675415039,0.11565952748060226,-24.18667221069336,-1.227632761001587
24.397,0.017948659136891365,-0.06781556457281113,0.9931989312171936,,,-31.81858253479004,,,,,,,,,,,,
24.494,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.495,,,,-2.7724215984344482,3.2994496822357178,,,,,,,,,,9.854039192199707,0.09772077947854996,-28.386951446533203,-1.2612521648406982
24.496,0.06487133353948593,-0.04491240903735161,1.0022262334823608,,,-43.54033279418945,,,,,,,,,,,,
24.594,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.596,,,,1.6054314374923706,0.9837470650672913,,,,,,,,,,8.949885368347168,3.9068498611450195,-25.500810623168945,-3.0046019554138184
24.597,0.009048587642610073,-0.07198744267225266,0.9995532631874084,,,-57.50662612915039,,,,,,,,,,,,
24.694,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.695,,,,-3.366903305053711,9.3047513961792,,,,,,,,,,8.688730239868164,4.457668781280518,-30.432682037353516,-3.5954267978668213
24.697,0.03209323063492775,-0.05808672308921814,0.9921066761016846,,,-61.936065673828125,,,,,,,,,,,,
24.793,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.795,,,,-0.5837414264678955,0.7246677875518799,,,,,,,,,,8.421703338623047,5.065080165863037,-35.99539566040039,-4.204192161560059
24.796,0.026629257947206497,-0.05075538158416748,0.9931380152702332,,,-32.917816162109375,,,,,,,,,,,,
24.893,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.895,,,,-0.05478991940617561,0.33776724338531494,,,,,,,,,,0.0013915349263697863,-0.001384880393743515,-1.6244697570800781,1.1607911801547743e-05
24.896,0.03278500214219093,-0.046667683869600296,0.9974506497383118,,,0.5843840837478638,,,,,,,,,,,,
24.993,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
24.995,,,,-7.101954936981201,8.465251922607422,,,,,,,,,,0.9831961989402771,1.096243977546692,-29.4273624420166,1.1874397993087769
24.996,0.05312005802989006,-0.03422688692808151,0.9949880838394165,,,-5.189986228942871,,,,,,,,,,,,
25.094,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.096,,,,0.05317431315779686,1.0324501991271973,,,,,,,,,,0.9928765892982483,1.0782452821731567,-32.474971771240234,1.2091659307479858
25.097,0.06364846229553223,-0.05043681710958481,0.9979885816574097,,,-22.929216384887695,,,,,,,,,,,,
25.194,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.195,,,,-2.3745672702789307,3.22135853767395,,,,,,,,,,1.0050517320632935,1.0657055377960205,-36.31089782714844,1.2224442958831787
25.196,0.056108180433511734,-0.04558173939585686,0.9949171543121338,,,-13.07444953918457,,,,,,,,,,,,
25.294,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.295,,,,-2.784905195236206,8.609606742858887,,,,,,,,,,1.0175514221191406,1.0426836013793945,-37.30644989013672,1.2353678941726685
25.297,-0.012577790766954422,-0.13669200241565704,0.998770534992218,,,23.049104690551758,,,,,,,,,,,,
25.393,,,,,,,0,0.5261644124984741,0,0,0.09438859671354294,45786.28125,3.479921579360962,4.053958892822266,,,,
25.395,,,,0.2944721579551697,-2.446942090988159,,,,,,,,,,1.0324143171310425,1.0145230293273926,-36.3034782409668,1.2484139204025269
