timestep,walltime_sec,ep_rew_mean,ep_len_mean
2068480,446.25,1057.5149,357.93
2088960,450.68,1103.5819,376.15
2109440,454.73,1009.1619,352.01
2129920,459.09,1036.1391,353.75
2150400,463.88,997.6002,334.46
2170880,467.94,1017.3570,342.94
2191360,472.07,1054.5533,355.10
2211840,476.64,1098.1868,363.36
2232320,481.38,1048.0386,352.15
2252800,485.30,1096.5733,355.23
2273280,489.62,1169.7743,377.22
2293760,493.80,1100.4511,364.84
2314240,498.40,1118.8544,363.24
2334720,502.15,1168.9457,378.48
2355200,505.85,1129.4271,369.32
2375680,510.76,1073.8630,353.03
2396160,514.79,1120.7401,359.84
2416640,518.95,1185.7322,376.30
2437120,523.12,1245.0931,393.75
2457600,526.91,1152.6982,365.97
2478080,531.48,1072.1331,342.37
2498560,536.47,1118.8751,355.37
2519040,542.14,1119.5534,355.83
2539520,547.96,1208.1081,374.12
2560000,553.95,1286.7098,388.17
2580480,560.67,1229.4551,380.62
2600960,565.17,1217.2360,379.06
2621440,569.28,1284.5725,392.64
2641920,573.15,1302.0296,402.06
2662400,576.88,1244.8794,389.77
2682880,580.70,1169.7876,362.85
2703360,584.56,1216.0403,373.56
2723840,588.63,1206.1998,369.05
2744320,593.17,1162.0076,355.09
2764800,597.44,1262.5033,393.06
2785280,601.98,1295.3731,400.62
2805760,606.26,1189.7414,361.99
2826240,610.61,1154.7630,355.12
2846720,615.02,1178.4341,363.68
2867200,619.18,1106.6216,358.33
2887680,623.47,1186.9683,377.02
2908160,627.48,1282.9888,396.86
2928640,631.57,1281.8888,394.55
2949120,635.74,1222.0409,373.82
2969600,639.96,1224.6173,370.43
2990080,644.48,1263.4398,381.10
3010560,648.78,1322.4249,395.15
3031040,653.28,1230.8484,371.87
3051520,657.51,1225.3393,362.25
3072000,661.79,1384.8489,393.66
3092480,666.16,1447.0424,412.36
3112960,670.38,1236.2353,372.92
3133440,674.43,1258.7035,370.35
3153920,678.62,1444.1099,411.02
3174400,682.69,1237.3786,374.72
3194880,686.88,1310.0815,378.16
3215360,691.27,1403.4504,403.21
3235840,695.67,1377.4199,406.27
3256320,699.91,1374.3320,404.47
3276800,704.49,1362.7294,397.13
3297280,709.08,1361.2531,386.00
3317760,712.96,1292.2688,373.35
3338240,716.63,1228.0189,354.40
3358720,720.35,1339.5560,364.91
3379200,724.16,1373.8845,389.10
3399680,728.15,1367.8651,390.53
3420160,732.18,1353.9836,382.04
3440640,736.43,1295.9921,369.98
3461120,740.79,1272.4844,364.25
3481600,745.81,1363.8719,384.59
3502080,750.35,1413.9620,404.88
3522560,754.72,1476.0303,416.36
3543040,758.98,1382.6550,394.72
3563520,763.36,1237.9716,362.76
3584000,768.25,1307.1686,365.93
3604480,772.66,1400.0372,388.38
3624960,777.54,1348.8198,390.19
3645440,782.02,1334.3063,388.26
3665920,786.17,1318.4256,378.61
3686400,789.94,1286.9431,373.87
3706880,794.10,1352.9673,385.32
3727360,797.80,1402.5870,397.37
3747840,801.82,1316.5591,382.05
3768320,805.67,1272.9034,369.22
3788800,809.82,1347.3873,372.84
3809280,813.75,1519.6368,408.68
3829760,817.55,1541.7317,420.21
3850240,821.40,1453.1925,401.12
3870720,825.07,1504.5358,408.09
3891200,828.72,1432.3811,390.59
3911680,832.37,1494.7857,399.58
3932160,836.03,1500.1494,410.26
3952640,839.63,1381.6851,387.14
3973120,843.27,1353.1391,384.58
3993600,846.86,1386.5775,390.88
4014080,850.55,1537.2022,408.43
4034560,854.11,1529.1069,410.68
4055040,857.61,1490.5235,399.15
4075520,861.14,1450.7635,400.25
4096000,864.77,1424.7960,403.82
4116480,868.50,1444.3130,398.52
4136960,872.49,1390.9488,395.05
4157440,877.69,1476.7025,417.98
4177920,881.57,1455.0127,405.95
4198400,885.34,1391.3581,390.04
4218880,888.94,1573.2229,415.30
4239360,892.42,1605.7427,415.83
4259840,895.88,1596.6656,417.96
4280320,899.29,1702.4678,438.53
4300800,902.81,1584.7483,419.67
4321280,906.69,1320.2735,371.28
4341760,910.28,1315.6953,364.96
4362240,913.68,1336.0043,367.90
4382720,917.54,1400.2317,392.58
4403200,921.21,1380.0264,382.35
4423680,925.01,1485.5365,397.29
4444160,928.55,1511.9914,413.25
4464640,932.07,1447.5639,400.16
4485120,935.66,1479.9948,402.62
4505600,939.35,1506.1707,406.53
