timestep,walltime_sec,ep_rew_mean,ep_len_mean
7045120,1722.90,1444.5306,433.06
7065600,1727.67,1344.7038,396.57
7086080,1732.54,1324.8053,407.40
7106560,1737.21,1265.6017,386.01
7127040,1741.88,1378.2971,384.49
7147520,1746.62,1329.2115,387.40
7168000,1751.27,1306.9301,399.44
7188480,1758.03,1507.1040,427.62
7208960,1763.16,1492.4757,421.75
7229440,1767.86,1373.9254,399.76
7249920,1772.50,1363.0490,391.66
7270400,1777.20,1362.8122,399.23
7290880,1782.05,1355.9688,405.52
7311360,1787.18,1432.8932,442.77
7331840,1792.68,1547.8932,454.97
7352320,1797.98,1449.5467,411.92
7372800,1802.65,1350.8826,405.10
7393280,1807.63,1437.2067,430.90
7413760,1812.29,1333.5564,395.59
7434240,1817.01,1342.7345,388.25
7454720,1821.57,1430.9215,415.94
7475200,1826.17,1484.6167,434.27
7495680,1830.99,1442.5595,418.24
7516160,1835.59,1337.0790,404.80
7536640,1841.40,1359.5620,427.88
7557120,1846.60,1371.4116,426.95
7577600,1851.60,1416.9053,425.35
7598080,1856.94,1475.6501,436.24
7618560,1861.95,1455.4279,428.27
7639040,1867.18,1392.9368,406.03
7659520,1872.23,1359.6421,392.63
7680000,1877.50,1443.9535,411.61
7700480,1884.99,1462.3707,416.51
7720960,1889.98,1367.0362,417.36
7741440,1895.25,1397.3664,423.63
7761920,1900.15,1441.5541,415.16
7782400,1905.11,1452.2896,436.58
7802880,1910.30,1371.7468,428.10
7823360,1915.49,1396.5806,397.84
7843840,1920.57,1448.7846,407.83
7864320,1925.58,1436.2885,413.88
7884800,1930.69,1471.4429,416.92
7905280,1935.81,1491.5739,417.75
7925760,1940.86,1388.9589,395.40
7946240,1945.92,1368.3997,386.56
7966720,1951.25,1326.0866,367.85
7987200,1956.50,1382.5251,387.35
8007680,1961.95,1468.6360,411.53
8028160,1967.11,1445.2551,402.34
8048640,1972.31,1520.1536,421.16
8069120,1977.46,1586.0958,431.93
8089600,1982.37,1513.7504,420.18
8110080,1987.71,1546.6927,435.14
8130560,1992.61,1527.2150,434.58
8151040,1997.73,1532.2524,434.45
8171520,2002.56,1443.4031,417.21
8192000,2008.03,1419.2502,411.99
8212480,2019.15,1492.3139,423.29
8232960,2025.08,1448.4894,410.72
8253440,2031.06,1380.6928,406.64
8273920,2037.15,1465.6741,425.46
8294400,2043.11,1477.0757,419.91
8314880,2049.67,1547.4564,433.41
8335360,2055.07,1540.5698,427.58
8355840,2060.44,1585.1278,423.43
8376320,2065.83,1569.7240,425.66
8396800,2071.02,1372.7403,390.81
8417280,2076.39,1362.9223,378.71
8437760,2081.46,1486.3141,403.22
8458240,2086.69,1513.0549,414.93
8478720,2091.89,1449.3165,404.49
8499200,2097.10,1459.7933,400.25
8519680,2102.38,1558.7357,419.91
8540160,2107.47,1497.1229,422.94
8560640,2112.67,1442.1958,413.78
8581120,2118.48,1448.9222,410.14
8601600,2123.39,1369.9026,404.04
8622080,2128.98,1422.5260,424.46
8642560,2134.66,1500.4976,428.04
8663040,2139.53,1362.8354,384.31
8683520,2144.38,1369.3250,385.09
8704000,2149.67,1445.9894,410.80
8724480,2156.51,1504.1882,435.84
8744960,2161.18,1472.8934,432.37
8765440,2165.89,1414.0196,425.16
8785920,2170.66,1460.2280,441.56
8806400,2175.38,1461.3197,437.08
8826880,2180.29,1476.4043,424.54
8847360,2185.20,1348.4310,395.74
8867840,2190.20,1312.9923,378.89
8888320,2195.08,1327.0801,379.50
8908800,2200.17,1436.9105,416.49
8929280,2205.56,1485.8924,431.63
8949760,2210.34,1438.4272,409.49
8970240,2215.07,1291.8511,365.48
8990720,2219.87,1443.9422,405.20
9011200,2224.92,1522.9679,421.65
9031680,2230.14,1458.6348,401.85
9052160,2235.58,1414.5384,390.74
9072640,2240.60,1369.3157,398.96
9093120,2245.65,1544.6218,439.24
9113600,2250.19,1549.5016,420.81
9134080,2254.84,1424.5609,399.06
9154560,2259.38,1480.7951,418.33
9175040,2263.90,1569.1878,432.53
9195520,2268.31,1658.6854,451.00
9216000,2272.80,1618.1220,443.45
9236480,2279.13,1549.1455,439.42
9256960,2283.66,1428.3169,402.34
9277440,2288.25,1329.3727,367.50
9297920,2292.77,1390.3408,383.07
9318400,2297.47,1529.8513,414.19
9338880,2302.14,1558.1493,422.00
9359360,2306.61,1481.5985,419.05
9379840,2311.07,1473.8975,420.66
9400320,2315.56,1497.8799,417.90
9420800,2320.02,1529.5535,418.68
9441280,2324.59,1671.9505,449.37
9461760,2329.00,1718.9410,459.15
9482240,2333.39,1640.9060,442.49
9502720,2337.78,1538.3021,420.35
9523200,2342.23,1605.1965,437.14
9543680,2346.86,1524.3369,412.78
9564160,2351.39,1464.0801,405.47
9584640,2355.79,1417.4132,391.99
9605120,2360.42,1443.9986,391.11
9625600,2364.85,1420.8392,403.93
9646080,2369.56,1489.0868,419.04
9666560,2373.98,1551.2284,417.70
9687040,2378.44,1616.2603,428.04
9707520,2382.97,1606.6600,422.18
9728000,2387.49,1543.9745,414.04
9748480,2393.81,1618.7073,435.49
9768960,2398.25,1619.8748,425.34
9789440,2403.15,1563.7531,406.50
9809920,2407.87,1526.2265,408.88
9830400,2412.64,1587.5346,432.92
9850880,2417.44,1647.6432,448.75
9871360,2422.14,1442.8615,380.33
9891840,2426.84,1346.7231,362.43
9912320,2431.94,1456.5834,394.14
9932800,2437.35,1467.8551,401.62
9953280,2442.78,1374.7752,381.85
9973760,2448.50,1368.3931,365.81
9994240,2453.86,1438.8568,376.62
10014720,2458.93,1470.1875,377.87
10035200,2464.98,1536.8109,400.61
10055680,2470.79,1552.3358,432.69
10076160,2476.57,1585.2859,445.40
10096640,2481.85,1579.5156,436.06
10117120,2487.14,1529.0550,413.80
10137600,2492.32,1530.7619,405.18
10158080,2497.38,1509.5314,384.40
10178560,2502.97,1478.6853,386.77
10199040,2508.64,1538.5805,406.00
10219520,2513.94,1480.4347,410.71
10240000,2518.98,1490.8516,397.57
10260480,2527.34,1524.3226,397.95
10280960,2532.20,1530.4556,406.69
10301440,2537.13,1593.8058,413.37
10321920,2542.68,1658.2561,442.31
10342400,2547.98,1683.3951,454.55
10362880,2553.28,1648.6645,445.43
10383360,2558.60,1577.9613,425.14
10403840,2563.68,1568.6007,421.36
10424320,2569.00,1535.1416,409.81
10444800,2573.80,1576.5872,413.96
10465280,2578.94,1555.1768,413.58
10485760,2583.79,1558.0981,411.33
10506240,2588.69,1527.2870,399.12
10526720,2593.50,1503.1187,404.87
10547200,2598.44,1619.2695,441.49
10567680,2603.46,1578.3721,429.20
10588160,2608.36,1454.3713,401.02
10608640,2613.13,1452.2812,400.12
10629120,2617.93,1583.0552,421.09
10649600,2622.77,1632.7065,426.28
10670080,2627.77,1576.5350,412.21
10690560,2632.62,1660.0809,448.02
10711040,2637.44,1579.6132,424.70
10731520,2642.27,1538.6025,410.84
10752000,2647.17,1497.9780,414.30
10772480,2653.91,1508.0758,413.79
10792960,2658.89,1512.4325,409.16
10813440,2663.71,1455.1149,403.38
10833920,2668.62,1481.6858,407.90
10854400,2673.53,1560.9921,431.81
10874880,2678.44,1477.0882,415.83
10895360,2683.33,1387.0400,386.08
10915840,2688.16,1508.9481,412.91
10936320,2692.92,1620.3844,436.60
10956800,2697.80,1480.3725,404.36
10977280,2702.78,1448.8217,398.89
10997760,2707.70,1490.1713,410.06
11018240,2712.66,1549.7110,420.27
11038720,2717.66,1495.1504,408.90
11059200,2722.62,1493.5166,413.47
11079680,2727.69,1649.4297,449.86
11100160,2732.53,1637.8948,431.77
11120640,2737.46,1769.2908,451.84
11141120,2742.38,1483.6194,409.37
11161600,2747.38,1293.2713,387.49
11182080,2752.51,1389.4773,411.16
11202560,2757.49,1362.5157,397.52
11223040,2762.45,1486.2124,421.15
11243520,2767.31,1630.6032,442.74
11264000,2772.33,1663.8245,442.66
11284480,2779.09,1529.8570,412.38
11304960,2784.00,1638.7427,440.14
11325440,2788.82,1691.3127,446.86
11345920,2793.59,1518.2411,403.63
11366400,2798.45,1500.5801,407.68
11386880,2803.47,1620.2821,440.02
11407360,2808.32,1571.0099,420.20
11427840,2813.14,1501.8137,401.32
11448320,2817.91,1395.0806,378.47
11468800,2822.64,1400.0826,384.98
11489280,2827.57,1574.8565,430.60
11509760,2832.39,1605.3091,436.99
11530240,2837.24,1522.8706,411.66
11550720,2841.94,1476.0615,405.87
11571200,2846.70,1540.3710,417.18
11591680,2851.75,1525.8468,413.05
11612160,2856.62,1539.3587,416.24
11632640,2861.44,1581.8472,415.48
11653120,2866.71,1553.2476,417.26
11673600,2871.81,1611.6976,434.18
11694080,2877.19,1657.2606,441.05
11714560,2882.19,1664.9651,440.80
11735040,2887.13,1698.2487,445.09
11755520,2892.20,1506.4845,415.39
11776000,2897.30,1464.1609,413.25
11796480,2904.20,1530.4673,421.61
11816960,2909.24,1407.0617,396.73
11837440,2914.30,1426.8884,415.75
11857920,2919.31,1444.6529,411.92
11878400,2924.36,1395.7787,392.21
11898880,2929.67,1537.0422,421.56
11919360,2934.69,1544.2689,422.35
11939840,2939.77,1498.6022,414.22
11960320,2944.78,1579.8848,421.03
11980800,2949.88,1595.1988,428.74
